source_title,source_url,origin_domain,excerpt,date_found,tags,confidence_score
"Python subprocess security + run()",https://docs.python.org/3/library/subprocess.html,docs.python.org,"Providing sequence of arguments is preferred as it allows escaping. A timeout may be specified in seconds.",2026-09-10,"subprocess,list-argv,timeout,shell-False",0.99
"Python shlex Unix-only quoting",https://docs.python.org/3/library/shlex.html,docs.python.org,"shlex only designed for Unix shells; quote() not guaranteed correct on Windows; prefer list args.",2026-09-10,"shlex,quoting,Windows",0.98
"OWASP OS Command Injection Defense",https://cheatsheetseries.owasp.org/cheatsheets/OS_Command_Injection_Defense_Cheat_Sheet.html,cheatsheetseries.owasp.org,"Use structured mechanisms that enforce separation between data and command; allowlist regex with length limits.",2026-09-10,"injection,allowlist,parameterization",0.98
"docker container exec CLI",https://docs.docker.com/reference/cli/docker/container/exec/,docs.docker.com,"The docker exec command runs a new command in a running container. Command must be an executable.",2026-09-10,"docker-exec,argv,verifier",0.99
"Compose startup order + pg_isready",https://docs.docker.com/compose/how-tos/startup-order/,docs.docker.com,"Compose does not wait until container is ready only until running. pg_isready interval 10s retries 5 start 30s.",2026-09-10,"healthcheck,pg_isready,timeouts",0.99
"docker compose up CLI",https://docs.docker.com/reference/cli/docker/compose/up/,docs.docker.com,"Builds recreates starts attaches to containers. --wait waits for running or healthy with --wait-timeout.",2026-09-10,"compose,wait,recreate",0.99
"Bind mounts docs",https://docs.docker.com/engine/storage/bind-mounts/,docs.docker.com,"Containers with bind mounts strongly tied to host. --mount fails if source missing; -v auto-creates.",2026-09-10,"bind-mount,WSL,volumes",0.99
"Docker Engine security",https://docs.docker.com/engine/security/,docs.docker.com,"Only trusted users should control your Docker daemon. Sharing host root lets container alter host.",2026-09-10,"daemon-socket,privilege",0.99
"Install Docker Desktop on Windows",https://docs.docker.com/desktop/setup/install/windows-install/,docs.docker.com,"Commercial use over 250 employees or $10M revenue requires paid subscription. docker-users group equals admin.",2026-09-10,"licensing,Windows,WSL2",0.99
"Docker Desktop WSL2 backend",https://docs.docker.com/desktop/features/wsl/,docs.docker.com,"WSL 2 provides improvements to file system sharing, faster cold-start times, dynamic resource allocation.",2026-09-10,"WSL2,filesystem,integration",0.99
"WSL networking NAT vs Mirrored",https://learn.microsoft.com/en-us/windows/wsl/networking,learn.microsoft.com,"By default WSL uses NAT architecture. Mirrored mode mirrors interfaces; localhost semantics change.",2026-09-10,"WSL,networking,localhost",0.98
"Docker pricing FAQ",https://www.docker.com/pricing/faq/,www.docker.com,"Desktop restricted to <250 employees and <$10M revenue. Personal 100 pulls/hr; unauthenticated 10/hr/IP.",2026-09-10,"licensing,Hub-limits",0.99
"Docker SDK for Python",https://docker-py.readthedocs.io/en/stable/,docker-py.readthedocs.io,"Lets you do anything the docker command does but from within Python apps. from_env connects by socket.",2026-09-10,"docker-py,SDK,tradeoff",0.95
"Docker Engine API versions",https://docs.docker.com/engine/api/,docs.docker.com,"Engine API is RESTful with version negotiation. DOCKER_API_VERSION disables negotiation; skew causes 404s.",2026-09-10,"API,version-skew,preflight",0.97
"Postgres Hub (password + init)",https://hub.docker.com/_/postgres,hub.docker.com,"POSTGRES_PASSWORD required must not be empty. Trust locally; password required from other hosts.",2026-09-10,"postgres,auth,secrets",0.96
"Redis CLI PING + auth",https://redis.io/docs/latest/develop/tools/cli/,redis.io,"redis-cli -h host -p port PING returns PONG. Password via -a or REDISCLI_AUTH environment variable.",2026-09-10,"redis,healthcheck,auth",0.97
"Elasticsearch single-node Docker",https://www.elastic.co/docs/deploy-manage/deploy/self-managed/install-elasticsearch-docker-basic,elastic.co,"Verify via curl --cacert -u elastic:PW https://localhost:9200 and _cat/nodes. JVM bootstrap 60-90s.",2026-09-10,"elasticsearch,TLS,healthcheck",0.96
"K8s controllers reconcile pattern",https://kubernetes.io/docs/concepts/architecture/controller/,kubernetes.io,"Controllers are control loops watching state then making changes; spec field is the desired state.",2026-09-10,"reconciler,labels,drift",0.98
"Docker Scout SBOM + policy",https://docs.docker.com/scout/,docs.docker.com,"Analyzes images into SBOM matched against vulnerability DB. CLI/Hub/Dashboard plus policy gates.",2026-09-10,"SBOM,CVE,pinning",0.97
