issue_id,title,severity,reproducible_steps,affected_component,references,mitigation_suggestions
ENV-001,"docker exec hangs/fails if container not running or paused",high,"1. docker run -d --name c alpine sleep 1000; 2. docker pause c; 3. docker exec c sh -> Error paused unpause first",executor,"https://docs.docker.com/reference/cli/docker/container/exec/,https://docs.docker.com/engine/containers/run/","Pre-flight docker ps --filter status=running; unpause check; wrap subprocess with timeout; surface actionable error; retry after unpause"
ENV-002,"Compose starts dependents before DB ready (pg_isready race)",high,"1. compose up with app depends_on db short syntax; 2. app connects before postgres accepts -> connection refused",verifier,"https://docs.docker.com/compose/how-tos/startup-order/,https://docs.docker.com/compose/compose-file/05-services/","Enforce long-syntax depends_on condition service_healthy + healthcheck test CMD-SHELL pg_isready -U user -d db; registry verifier polls pg_isready via docker exec"
ENV-003,"Bind-mount path mismatch on Windows/WSL2 remote daemon",high,"1. EnvMan on Windows passes C:\proj:/app; 2. daemon in WSL VM expects /mnt/c/... -> invalid mount config",executor,"https://docs.docker.com/engine/storage/bind-mounts/,https://docs.docker.com/desktop/features/wsl/,https://learn.microsoft.com/en-us/windows/wsl/networking","Normalize paths per-platform (wslpath / \\wsl$); prefer --mount type=bind with absolute POSIX; validate existence; use bind-create-src only deliberately"
ENV-004,"Docker daemon socket = root equivalent (privilege escalation)",high,"1. Grant user docker-users group / /var/run/docker.sock; 2. docker run -v /:/host ... -> host takeover",executor,"https://docs.docker.com/engine/security/","Never expose daemon TCP without TLS; warn on docker-users membership; support rootless Podman/Colima; least-privilege --cap-drop; read-only mounts"
ENV-005,"WSL2 NAT localhost vs LAN confusion + mirrored-mode drift",med,"1. NAT default: app binds 127.0.0.1 unreachable from LAN; 2. Mirrored mode changes localhost semantics",platform,"https://learn.microsoft.com/en-us/windows/wsl/networking,https://ddev.readthedocs.io/en/stable/","Bind 0.0.0.0 in containers; document NAT vs mirrored; detect .wslconfig networkingMode; health-check via host IP + localhost fallback"
ENV-006,"macOS Apple Silicon x86 images slow/fail without Rosetta",med,"1. pull linux/amd64 postgres on M1 under Docker Desktop; 2. qemu fallback slow or exec format error",platform,"https://orbstack.dev/,https://docs.orbstack.dev/,https://github.com/abiosoft/colima","Pin multi-arch images (arm64); set platform: linux/arm64 or amd64 explicitly; recommend OrbStack Rosetta / Colima --vz-rosetta; warn on emulation"
ENV-007,"Docker Desktop license kills enterprise adoption",high,"1. Enterprise >250 emp or >$10M revenue installs Desktop; 2. audit -> must pay Pro/Team/Business or stop use",platform,"https://docs.docker.com/desktop/setup/install/windows-install/,https://www.docker.com/pricing/faq/","Detect enterprise context; support Docker CE + WSL2 / Rancher / Podman / Colima / OrbStack backends; document subscription agreement; admin-settings.json org controls"
ENV-008,"Health verifier false-positive: container running != service ready",med,"1. docker ps shows Up; 2. EnvMan marks green while pg still in start_period 30s",verifier,"https://docs.docker.com/compose/how-tos/startup-order/,https://docs.docker.com/reference/cli/docker/compose/up/","Use healthcheck interval/retries/start_period + compose up --wait --wait-timeout; poll docker inspect .State.Health.Status not just Running"
ENV-009,"Quoted/chained docker exec command fails",med,"1. subprocess ['docker','exec',c,'echo a && echo b'] -> fails; must be sh -c wrapper",executor,"https://docs.docker.com/reference/cli/docker/container/exec/","Always exec as ['sh','-c',cmd] or explicit executable; never pass shell string; unit-test argv construction; quote $$ escaping in compose ($$)"
ENV-010,"Volume orphan / stale anonymous volumes on recreate",med,"1. compose up --force-recreate without -V keeps stale PGDATA; 2. schema drift hidden",CI,"https://docs.docker.com/reference/cli/docker/compose/up/,https://github.com/docker/compose","Expose --renew-anon-volumes -V and --remove-orphans toggles; label volumes per-env; add down -v guardrails"
ENV-011,"Docker Hub pull rate limits break CI/first-run",med,"1. Unauthenticated 10/hr/IP or 100/hr/user exceeded -> toomanyrequests on fresh env",CI,"https://www.docker.com/pricing/faq/","Auth in CI; mirror to GHCR/ECR; --pull missing policy; pre-warm + retry with backoff; document DSOS exemption"
ENV-012,"Frontend shows green while pre_start hook failed",low,"1. compose up with pre_start hook non-zero; 2. hook container retained but UI ignores label com.docker.compose.hook",frontend,"https://docs.docker.com/reference/cli/docker/compose/up/","Query docker ps -a --filter label=com.docker.compose.hook=pre_start + docker logs; surface hook logs in UX"
ENV-013,"Subprocess injection via env/project names",high,"1. Project name '; rm -rf' interpolated into shell=True -> RCE",executor,"https://docs.docker.com/engine/security/","Never shell=True; argv lists only; validate regex [a-zA-Z0-9_.-]+ like container_name spec; escape env -e values"
ENV-014,"Podman/Colima Docker-compat gaps (compose socket path)",med,"1. DOCKER_HOST unix:///var/run/docker.sock missing under Podman socket; 2. EnvMan subprocess fails to connect",platform,"https://podman.io/docs,https://github.com/abiosoft/colima,https://devpod.sh/docs/what-is-devpod","Auto-detect podman machine + colima status; respect DOCKER_HOST/CONTAINER_HOST; fallback to podman-remote; document drop-in limits"
