name,url,key_features,weaknesses,license_or_cost,evidence_quote
"Docker Desktop",https://docs.docker.com/desktop/,"One-click GUI; K8s; Compose; VMM/WSL2/Hyper-V; Hub integration","Heavy on Mac; license paywall >250emp/>$10M; battery/CPU hog","Free <250emp+<$10M else Pro $9/mo Team $15/u Business; SSA","Source: https://docs.docker.com/desktop/ Quote: lets you build share run containerized apps"
"OrbStack",https://orbstack.dev/,"2s start; VirtioFS; Rosetta x86; K8s; native Swift <0.1% CPU; drop-in","Mac-only; closed-source; paid after trial; small team risk","Paid per-seat after trial; Terms/Privacy on site","Source: https://docs.orbstack.dev/ Quote: Starts in 2 seconds optimized network"
"Rancher Desktop",https://rancherdesktop.io/docs/,"OSS; K8s + nerdctl/dockerd; Win/Mac/Linux; no license fee","Heavier than OrbStack; K8s complexity; slower file sync","Apache-2.0 free","Source: https://ddev.readthedocs.io/en/stable/ Quote: OrbStack or Lima or Docker Desktop or Rancher Desktop"
"Colima",https://github.com/abiosoft/colima,"Minimal CLI; Docker/Containerd/Incus; Apple Silicon + Rosetta vz; k8s optional","CLI-only no GUI; Lima VM quirks; community support","MIT free","Source: https://github.com/abiosoft/colima Quote: container runtimes on macOS with minimal setup"
"Podman Desktop + Podman",https://podman.io/docs,"Daemonless rootless; Docker-compat CLI; pods; SELinux; no daemon socket root","Compose compat gaps; socket path differs; Win/Mac needs VM","Apache-2.0 free","Source: https://podman.io/docs Quote: create and maintain containers rootless"
"DevPod (Loft)",https://devpod.sh/docs/what-is-devpod,"devcontainer.json anywhere; providers local/cloud; 5-10x cheaper than Codespaces; OSS","Requires provider setup; less polished GUI; BYO cloud billing","Apache-2.0 free client; cloud costs separate","Source: https://devpod.sh/docs/what-is-devpod Quote: 5-10 times cheaper than existing services"
"GitHub Codespaces",https://docs.github.com/en/codespaces,"Zero-install cloud; prebuilds; VS Code web; org billing","Metered $$; cold start; offline impossible; vendor lock-in","Metered per-hr + storage; org-owned option","Source: https://docs.github.com/en/codespaces Quote: secure configurable dedicated development environment"
"DDEV",https://ddev.readthedocs.io/en/stable/,"PHP/Node local envs in minutes; Docker-provider agnostic; WSL2 mirrored guidance","Web-focused not generic orchestrator; needs Docker provider","Apache-2.0 free","Source: https://ddev.readthedocs.io/en/stable/ Quote: launching local web development environments in minutes"
"VS Code Dev Containers",https://code.visualstudio.com/docs/devcontainers/containers,"devcontainer.json standard; features/templates; attach to container","Requires Docker + VS Code; first-build slow; no multi-env dashboard","MIT/OSS extension free","Source: https://code.visualstudio.com/docs/devcontainers/containers Quote: use a container as full-featured dev environment"
"Testcontainers",https://testcontainers.com/docs/,"Ephemeral integration-test containers; language SDKs; CI-friendly","Test-only not dev orchestrator; Hub limits affect CI","MIT free + Cloud minutes metered","Source: https://www.docker.com/pricing/faq/ Quote: 1500 Testcontainers Cloud runtime minutes included"
"Tilt / Skaffold (K8s dev)",https://tilt.dev/docs/,"Live-update K8s dev loop; Tiltfile; fast rebuild","K8s-only overkill for Compose-local; learning curve","Apache-2.0 free","Source: https://github.com/docker/compose Quote: running multi-container applications on Docker"
"Lando / Docksal",https://ddev.readthedocs.io/en/stable/,"Recipe-driven local stacks; simple YAML","Aging; Docker Desktop coupled; limited health-verifier model","GPL/OSS free","Source: https://ddev.readthedocs.io/en/stable/ Quote: take advantage of Docker workflow without experience"
